Laughing Gas,995
Sugartown,971
I Don't Feel Amazing Now,635
Dilly,632
Impossible Germany,626
Apocalypse,624
In The Sun,611
My Brittle Heart,609
You Told a Lie,608
The Hours,560
Up On the Ride,555
My Maudlin Career,528
Hopeful,527
Love Hope and Misery,513
Let Down,507
Struck Dumb,505
Whistle for the Choir,504
Bodysnatchers,494
Barricade,490
O Valencia!,483
Evening Kitchen,472
No One's Gonna Love You,467
Fader,467
Ole Black 'n' Blue Eyes,462
Impossible,462
Sweet Illusions,429
One Kiss Don't Make a Summer,428
Coming Home,428
Black Hole,427
Funny Little Frog,426
She's Not Gone Yet But She's Leaving,424
No Surprises,423
Fake Plastic Trees,420
Get Away,414
Hang Loose,408
Always For You,406
Karma Police,406
The Start of Something,397
Read My Mind,396
New Slang,395
I Miss Those Days,392
1979,390
Telescope,385
Summer,384
We Both Go Down Together,379
Gone for Good (A Call to Apathy),377
Disco 2000,372
try/version 1,367
This Year,366
Say,363
The Funeral,362
Easy,359
Lost,358
Rocket Brothers,356
The Boat That Never Touches Water,356
Chinese Translation,356
She's A Star,353
Slide Away,353
King of Spain,351
An Attempt To Tip The Scales (Short),350
The Aftermath,345
What Is This Thing Called Love,336
Comforting Sounds,332
Rollercoaster,330
Take It Easy,329
Crooked Teeth,329
Mouthful of Wasps,327
I Was a Kaleidoscope,327
Paranoid Android,326
How Does It Feel,325
A Lack of Understanding,325
Australia,323
I Summon You,322
Very Loud,321
The Execution of All Things,320
Your Heart Is an Empty Room,319
Sick Of Goodbyes,317
Minimal Affection,317
Heers,317
The New,316
Maybe (Luck of the Draw),315
The Mother We Share,314
Cigarette Daydreams,314
Like A Friend,314
Golden Days,313
Lockdown Hurricane,311
My Iron Lung,306
Slow,305
Try Try Try,305
First Day of My Life,304
It Starts and Ends With You,304
Something Good Can Work,303
Riverina,303
Lonely World,300
The Operation Worked But The Patient Died,297
Slow Hands,295
C'mere,295
Requiem for O.M.M.2,293
Compliments,293
Forever Alone,291
I Can't Quit,289
Dakota,288
What Sarah Said,288
Melpomene,287
Honey and the Moon,285
Stand Inside Your Love,284
Beats the Hell Out of Me,283
Coffee & TV,283
Pangea,283
Float On,283
Here Comes the Phantom,282
Babydoll,280
Return To Send Her,280
Anna Begins,280
Say Something,279
Tonight & Forever,279
Sunshine,279
Death,278
The Night Believer,278
Bullet With Butterfly Wings,277
Stand Up Tragedy,276
Simple Song,274
Tonight Tonight,272
Little Bird,271
Bitches in Tokyo,271
